model,residual_column,n_observations,mean_residual,mae,mse,rmse,sse
baseline,baseline_residual,3960,1.973729821555834e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609
climate_adjusted,residual_after_climate,3960,1.8840148296669324e-17,0.035261921276628104,0.0025164468454009488,0.05016419884141427,9.965129507787758
