experiment_type,experiment_name,experiment_code,country,age,age_num,mean_C_tr,mean_lambda_xr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_delta_vs_baseline_relative_mx_impact_pct,mean_delta_vs_baseline_climate_component
C_weights,C1_base_20_70_10,C1,ES,55,55.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,56,56.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,57,57.0,4.033746924744858,0.001656368582219631,0.006681371674772439,0.006705466329030298,0.6705466329030297,0.6516419334941181,0.22219355627959292,1.0298711964140006,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,58,58.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,59,59.0,4.033746924744858,0.002152925119884697,0.008684355081540853,0.008725092712331885,0.8725092712331884,0.8478212914208694,0.2889002680804609,1.3406739063645867,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,60,60.0,4.033746924744858,0.00016806373790831212,0.00067792658594878,0.0006781740789808354,0.06781740789808353,0.06592619033953806,0.022522435684413367,0.1040157047995871,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,61,61.0,4.033746924744858,0.0009760800712764045,0.003937259985815939,0.0039456184045549205,0.39456184045549203,0.3834932349779052,0.13087657482264703,0.6056146092114689,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,62,62.0,4.033746924744858,0.003646250764964864,0.014708052810025608,0.014825171943873759,1.4825171943873758,1.4401108895478965,0.48977920946777775,2.2811437571933935,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,63,63.0,4.033746924744858,0.005706338492585811,0.023017925346021224,0.023305683204598998,2.3305683204599,2.2629059243187033,0.7675583317064083,3.5928921744287745,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,64,64.0,4.033746924744858,0.005077161052295927,0.02047998278113307,0.020707562255377693,2.070756225537769,2.010908287351998,0.6826396479312269,3.190492735229644,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,65,65.0,4.033746924744858,0.009843308735534526,0.0397054163412766,0.04056713953018935,4.056713953018935,3.9354164063004182,1.3277025445517676,6.278114662356216,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,66,66.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,67,67.0,4.033746924744858,0.0037702985620496174,0.015208430230037605,0.015333677750495558,1.5333677750495558,1.4894674911301253,0.5064839401214716,2.3596583525738346,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,68,68.0,4.033746924744858,0.005512961638150013,0.022237892054123992,0.022506397240771425,2.2506397240771427,2.185388593329085,0.7414510655825213,3.469048493323479,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,69,69.0,4.033746924744858,0.001242369940968043,0.005011405928775295,0.005024952599871575,0.5024952599871575,0.4883712755106018,0.16661147574794644,0.771471581136951,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,70,70.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,71,71.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,72,72.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
