country,year,n_obs,C_tr,mean_baseline_residual,rmse_baseline_residual,mae_baseline_residual,mean_residual_after_climate,rmse_residual_after_climate,mae_residual_after_climate,rmse_change,rmse_change_pct,mae_change,mae_change_pct
ES,2004,66,-0.7933713547031221,0.06401259678320403,0.10397741261954156,0.0752032372479313,0.048636150708109505,0.09232308619035998,0.06483256126713549,-0.011654326429181586,-11.208517441980726,-0.010370675980795815,-13.79019888014341
ES,2005,66,-0.8330980643111605,0.06150288490730504,0.0933617025010377,0.06941836283282597,0.04535648967232746,0.08276457741211407,0.062116880812852965,-0.010597125088923631,-11.35061251566813,-0.007301482019973007,-10.518084440505335
ES,2006,66,0.0291193770844345,0.044331145430403174,0.07777003330887634,0.050125840679500766,0.04489551232974339,0.07835218357135923,0.05056990988504623,0.0005821502624828861,0.7485534436776974,0.0004440692055454609,0.8859087439246988
ES,2007,66,-0.960975201357014,0.045346614292290845,0.07028926705792775,0.05215386534158805,0.026721813591364954,0.051393106874421474,0.03868960162633019,-0.018896160183506275,-26.88342185718527,-0.013464263715257857,-25.8164253542322
ES,2008,66,-1.0964598163790915,0.03214350505786891,0.060118640123640876,0.043270068565679984,0.010892857249479103,0.04217704670694786,0.026436738857081,-0.01794159341669302,-29.84364479934023,-0.016833329708598983,-38.902942071948736
ES,2009,66,-0.4475597119516372,0.00812873173498006,0.04904036325228196,0.03357335836094237,-0.0005454883958745192,0.0445554705763534,0.031141672419787592,-0.00448489267592856,-9.145308840508777,-0.0024316859411547785,-7.242903480229982
ES,2010,66,-0.6366491672314835,-0.0015524889784578545,0.05307573569423,0.03779664104679923,-0.013891479453292832,0.04857991365814215,0.03247342384670599,-0.0044958220360878515,-8.470578838489098,-0.005323217200093239,-14.083836692001576
ES,2011,66,-0.7972835896304257,-0.005595799463854646,0.0478550643882273,0.03505850969666915,-0.021048069135347233,0.04727526112798563,0.0336298097186201,-0.0005798032602416722,-1.2115818203439888,-0.00142869997804905,-4.07518742356806
ES,2012,66,-0.3477692216850011,-0.002714551609206374,0.047155388437752084,0.03378910179088567,-0.0094547176766062,0.04620968686373819,0.032674848749219075,-0.0009457015740138922,-2.0055005490247937,-0.0011142530416665963,-3.2976699071863367
ES,2013,66,-0.6007157100116364,-0.017928866589424327,0.06342009969063075,0.04618393980361927,-0.02957142548280972,0.06532755219070331,0.046514889603225605,0.0019074525000725567,3.0076466441668974,0.0003309497996063365,0.7165906611986386
