country,age,age_num,lambda_xr,n_obs,weighted,intercept,r_squared,rmse_residual_after_climate,mean_C_tr,sd_C_tr,status
ES,20,20.0,-0.022396395195866847,20,False,0.0,0.053104902115196695,0.09095086229063858,-1.1102230246251566e-17,0.961712079266725,estimated
ES,21,21.0,0.009528202766377263,20,False,0.0,0.0056336157301192236,0.12174066462175319,-1.1102230246251566e-17,0.961712079266725,estimated
ES,22,22.0,-0.0030970907591287545,20,False,0.0,0.0008723348807256892,0.10080170461691648,-1.1102230246251566e-17,0.961712079266725,estimated
ES,23,23.0,0.007365083306666807,20,False,0.0,0.007227699385960684,0.08301326960532078,-1.1102230246251566e-17,0.961712079266725,estimated
ES,24,24.0,0.01800911873033555,20,False,0.0,0.025399491318095824,0.1072848354810036,-1.1102230246251566e-17,0.961712079266725,estimated
ES,25,25.0,-0.011029524909087455,20,False,0.0,0.010146134182804634,0.10477004192836215,-1.1102230246251566e-17,0.961712079266725,estimated
ES,26,26.0,-0.031097271331795188,20,False,0.0,0.0827868702332073,0.0995455277045052,-1.1102230246251566e-17,0.961712079266725,estimated
ES,27,27.0,-0.0079235688913933,20,False,0.0,0.010651721580576923,0.07343965149413627,-1.1102230246251566e-17,0.961712079266725,estimated
ES,28,28.0,-0.021477533117638545,20,False,0.0,0.037788380174958,0.10422829389268068,-1.1102230246251566e-17,0.961712079266725,estimated
ES,29,29.0,-0.004275024603181553,20,False,0.0,0.003371718712846694,0.07068457070951766,-1.1102230246251566e-17,0.961712079266725,estimated
ES,30,30.0,-0.028005810153739617,20,False,0.0,0.09092888070293292,0.08516109150868398,-1.1102230246251566e-17,0.961712079266725,estimated
ES,31,31.0,-0.036588221796833145,20,False,0.0,0.12320004448219846,0.09387094744167605,-1.1102230246251566e-17,0.961712079266725,estimated
ES,32,32.0,-0.016023105685786396,20,False,0.0,0.02242832715264309,0.10173435388047439,-1.1102230246251566e-17,0.961712079266725,estimated
ES,33,33.0,-0.007555540060437097,20,False,0.0,0.005749353484838182,0.09555403238570463,-1.1102230246251566e-17,0.961712079266725,estimated
ES,34,34.0,-0.014722433570540979,20,False,0.0,0.02021619349389947,0.09856894542567761,-1.1102230246251566e-17,0.961712079266725,estimated
ES,35,35.0,-0.030068622355405524,20,False,0.0,0.08325138388066222,0.09595950572295506,-1.1102230246251566e-17,0.961712079266725,estimated
ES,36,36.0,-0.04182670015268112,20,False,0.0,0.15125664453190646,0.09528611859504169,-1.1102230246251566e-17,0.961712079266725,estimated
ES,37,37.0,-0.03800814902299152,20,False,0.0,0.10652941429313689,0.10585884500585165,-1.1102230246251566e-17,0.961712079266725,estimated
ES,38,38.0,-0.043803473634620824,20,False,0.0,0.15767457487411296,0.0973672138853867,-1.1102230246251566e-17,0.961712079266725,estimated
ES,39,39.0,-0.07385186637052273,20,False,0.0,0.3349870470917813,0.10007085053991945,-1.1102230246251566e-17,0.961712079266725,estimated
ES,40,40.0,-0.04690603518063869,20,False,0.0,0.25179302055147434,0.07776117772215982,-1.1102230246251566e-17,0.961712079266725,estimated
ES,41,41.0,-0.05026365073060458,20,False,0.0,0.2942211065787178,0.07486804983726227,-1.1102230246251566e-17,0.961712079266725,estimated
ES,42,42.0,-0.06685808661838182,20,False,0.0,0.42928980196613176,0.07413640885768061,-1.1102230246251566e-17,0.961712079266725,estimated
ES,43,43.0,-0.055319343304923656,20,False,0.0,0.4539536331554286,0.05834868860306224,-1.1102230246251566e-17,0.961712079266725,estimated
ES,44,44.0,-0.05846501607827734,20,False,0.0,0.32446742310840715,0.0811294894854875,-1.1102230246251566e-17,0.961712079266725,estimated
ES,45,45.0,-0.06937338850449987,20,False,0.0,0.5617233445134531,0.05893196357165086,-1.1102230246251566e-17,0.961712079266725,estimated
ES,46,46.0,-0.056673391960445775,20,False,0.0,0.5773043748655261,0.04663755019094481,-1.1102230246251566e-17,0.961712079266725,estimated
ES,47,47.0,-0.07278151966673327,20,False,0.0,0.6936525346274447,0.046515998430998656,-1.1102230246251566e-17,0.961712079266725,estimated
ES,48,48.0,-0.048721874347788935,20,False,0.0,0.4564025499534704,0.05113682178774894,-1.1102230246251566e-17,0.961712079266725,estimated
ES,49,49.0,-0.05394366444828174,20,False,0.0,0.6225278878140923,0.040396947128506444,-1.1102230246251566e-17,0.961712079266725,estimated
ES,50,50.0,-0.04477692155218655,20,False,0.0,0.504945337770697,0.04263867467606272,-1.1102230246251566e-17,0.961712079266725,estimated
ES,51,51.0,-0.022027610039892332,20,False,0.0,0.20801393173848182,0.04133567271814978,-1.1102230246251566e-17,0.961712079266725,estimated
ES,52,52.0,-0.031745896598611774,20,False,0.0,0.26248411914292813,0.05117605919322588,-1.1102230246251566e-17,0.961712079266725,estimated
ES,53,53.0,-0.018478897704762805,20,False,0.0,0.19480947987581987,0.03612978817388993,-1.1102230246251566e-17,0.961712079266725,estimated
ES,54,54.0,-0.02276082068967687,20,False,0.0,0.3200165407360067,0.031907733009899415,-1.1102230246251566e-17,0.961712079266725,estimated
ES,55,55.0,-0.011802718253971015,20,False,0.0,0.12429918088576886,0.0301280383570218,-1.1102230246251566e-17,0.961712079266725,estimated
ES,56,56.0,-0.009497846384814686,20,False,0.0,0.09076686291426617,0.028909739401679603,-1.1102230246251566e-17,0.961712079266725,estimated
ES,57,57.0,0.0016563685822196309,20,False,0.0,0.0034039201065240166,0.02725661773217445,-1.1102230246251566e-17,0.961712079266725,estimated
ES,58,58.0,-0.002887731778581961,20,False,0.0,0.01176915578669091,0.025448282057100476,-1.1102230246251566e-17,0.961712079266725,estimated
ES,59,59.0,0.0021529251198846968,20,False,0.0,0.007766179437747711,0.023403310714767984,-1.1102230246251566e-17,0.961712079266725,estimated
