country,year,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_absolute_mx_impact
ES,2030,3.3356493148354733,0.0037730505583545115,0.0038322361683095184,0.38322361683095185,0.0,0.0,6.191311255592735,1.4874985808056077e-05
ES,2031,3.1768723982451736,0.0035934533413657745,0.003647102663761764,0.3647102663761764,0.0,0.0,5.888098101043182,1.399560953305443e-05
ES,2032,3.509483966110703,0.003969680019712537,0.004035243240019309,0.4035243240019309,0.0,0.0,6.524275635659915,1.5296514500985877e-05
ES,2033,3.4856777973581137,0.003942752165544909,0.004007422427163629,0.4007422427163629,0.0,0.0,6.478615471874449,1.501535776720639e-05
ES,2034,4.777604081491072,0.005404087793969972,0.005526245890606903,0.5526245890606903,0.0,0.0,8.985040003793433,2.042061051299473e-05
ES,2035,1.3399618528623516,0.0015156700659839624,0.0015251411105187366,0.15251411105187365,0.0,0.0,2.4425053810372965,5.6032546072641154e-06
ES,2036,5.565286479249426,0.006295058405733687,0.0064613721026293685,0.6461372102629369,0.0,0.0,10.542060988445169,2.329423996825416e-05
ES,2037,3.0401353448249377,0.0034387860586090383,0.0034878881901351986,0.3487888190135199,0.0,0.0,5.6276679830368215,1.2483196481258884e-05
ES,2038,4.222654144441529,0.00477636767946901,0.004871571180812481,0.48715711808124823,0.0,0.0,7.901250953281136,1.7198829679247326e-05
ES,2039,2.904966961119253,0.0032858931440738165,0.003330700538815376,0.3330700538815376,0.0,0.0,5.37085511127704,1.1649398909503892e-05
ES,2040,3.4122499895695406,0.00385969582327798,0.003921650959714152,0.3921650959714152,0.0,0.0,6.3379043901411025,1.3546163060484947e-05
ES,2041,3.439249019301851,0.0038902352159393898,0.0039531818238555585,0.3953181823855559,0.0,0.0,6.389621506717114,1.3496932701790946e-05
ES,2042,3.9213972861314317,0.004435607230701301,0.0045176066214535305,0.45176066214535304,0.0,0.0,7.3174318358075086,1.5233518831201925e-05
ES,2043,6.185846348680264,0.006996991834836953,0.0072030059760255965,0.7203005976025597,0.0,0.0,11.784378898204405,2.391446977990339e-05
ES,2044,4.701668919269364,0.00531819530972557,0.005436463062736364,0.5436463062736364,0.0,0.0,8.836102059989482,1.788793551329382e-05
ES,2045,4.161730793855499,0.004707455494688942,0.004799907853337265,0.4799907853337265,0.0,0.0,7.7829292278418505,1.56263792882972e-05
ES,2046,4.948003763161143,0.005596831860682634,0.005727953861695855,0.5727953861695856,0.0,0.0,9.320001331204919,1.840812416189673e-05
ES,2047,5.121837052094335,0.005793459781055711,0.005934060364565796,0.5934060364565796,0.0,0.0,9.662773073364384,1.8845663360898337e-05
ES,2048,3.5502614490107827,0.004015804623980785,0.0040829118271995535,0.40829118271995535,0.0,0.0,6.602532229428082,1.2852851878676451e-05
ES,2049,2.308674310626205,0.0026114090764953707,0.002639638589345858,0.2639638589345858,0.0,0.0,4.245362550126863,8.23171268051255e-06
ES,2050,2.4320554423640237,0.002750969085373807,0.0027823127803641525,0.2782312780364153,0.0,0.0,4.477251760819212,8.57533838772491e-06
ES,2051,4.280968313199963,0.004842328542325735,0.0049402038234636104,0.494020382346361,0.0,0.0,8.014626944094339,1.5003664957021754e-05
ES,2052,3.3621413263603674,0.003803016447883539,0.003863152622294187,0.3863152622294187,0.0,0.0,6.241986982226777,1.1616712819088654e-05
ES,2053,4.9717933202879125,0.005623740924954155,0.005756140152744094,0.5756140152744094,0.0,0.0,9.366847219906482,1.7063086676420364e-05
ES,2054,4.196038658674471,0.004746262124611176,0.00484025868966843,0.48402586896684296,0.0,0.0,7.84954396307096,1.4203164816934155e-05
ES,2055,5.279599019066152,0.00597190895882831,0.0061214044639713115,0.6121404463971312,0.0,0.0,9.974784926087565,1.772358291315888e-05
ES,2056,5.32634413169416,0.006024783723725516,0.006176968373569954,0.6176968373569954,0.0,0.0,10.067404890290721,1.7678627906200737e-05
ES,2057,3.878576467702012,0.0043871713498172555,0.004467375178471733,0.4467375178471733,0.0,0.0,7.234704269086412,1.2671690685520653e-05
ES,2058,2.985667140263355,0.0033771754784081686,0.003424523044043655,0.34245230440436547,0.0,0.0,5.5241060316322255,9.617636085488858e-06
ES,2059,5.81017578130102,0.00657205986201129,0.006753520902936841,0.675352090293684,0.0,0.0,11.030654680497554,1.8658442088737922e-05
ES,2060,5.413583793938718,0.006123463058773877,0.006280731993080752,0.6280731993080751,0.0,0.0,10.240468744166975,1.7166333553780965e-05
FR,2030,1.869825023095513,0.0357950261685509,0.03699660347493142,3.6996603474931415,3.3077561295534186,0.0,12.374306321130613,0.00015033656011756945
FR,2031,1.7663238593921933,0.033813649934157364,0.034884380790997746,3.488438079099775,3.1218327598240614,0.0,11.650952413816174,0.0001396329327895307
FR,2032,1.970880217360995,0.03772957794666996,0.039066378109422525,3.9066378109422524,3.489609122351578,0.0,13.085087071122459,0.00015375847377624367
FR,2033,2.5337370626119395,0.048504637246898616,0.05073101940641196,5.0731019406411955,4.508365917273515,0.0,17.127043663243093,0.00019591839937217197
FR,2034,1.583935690807518,0.030322099020738538,0.031180995662059063,3.118099566205906,2.7950154169373964,0.0,10.38758273392193,0.00011921648777334813
FR,2035,-0.5366591801064159,-0.010273543865457712,-0.01017771380156642,-1.017771380156642,-0.929648653552595,-3.2929716117121255,0.0,-3.878077451464326e-05
FR,2036,2.8379059062815783,0.05432749852232847,0.05713215247713349,5.713215247713349,5.063071773111972,0.0,19.37113022127004,0.00021017018873259563
FR,2037,0.2308650717739958,0.004419569309150505,0.004437486456051825,0.44374864560518246,0.4026038054238845,0.0,1.4508750146105864,1.631885594606401e-05
FR,2038,4.994053317969188,0.0956037420591917,0.1045519322541265,10.45519322541265,9.080513092185926,0.0,36.56042664565724,0.00036798154259729866
FR,2039,2.1782796967944247,0.0416999333018321,0.04333749873194855,4.333749873194856,3.8638363423987965,0.0,14.55796284173545,0.0001527595456638756
FR,2040,2.067799254777348,0.03958494913793031,0.04105839815649163,4.105839815649162,3.66431965535865,0.0,13.770998950093771,0.00014259299988223786
FR,2041,1.5617100867211715,0.02989662280234589,0.03073133335844083,3.0731333358440827,2.7552607110703065,0.0,10.23461042481113,0.00010540163434880702
FR,2042,4.162689287635892,0.0796885110328647,0.08583399879065352,8.583399879065352,7.51359141848228,0.0,29.657375657933404,0.00028539704026877644
FR,2043,3.688073630140536,0.07060269836579225,0.07539515008861583,7.539515008861582,6.6291685356631,0.0,25.87412692479194,0.0002475595207810599
FR,2044,2.900997022908576,0.05553528435403574,0.058468562260762934,5.8468562260762935,5.178497790516445,0.0,19.841958687985105,0.00018994155306235218
FR,2045,3.383513856818257,0.0647723533221095,0.0687890775993029,6.878907759930289,6.065472419772256,0.0,23.504776464248845,0.00021941398032630509
FR,2046,3.555706643019639,0.06806872876472188,0.07251522316611199,7.251522316611199,6.383809232896498,0.0,24.83883192086951,0.0002275294268471815
