country,year,age,age_num,mx,log_mx,mx_hat_baseline,log_mx_hat_baseline,baseline_residual,C_tr,lambda_xr,climate_component,residual_after_climate,mx_hat_climate_adjusted,log_mx_hat_climate_adjusted
ES,2004,20,20.0,0.00047,-7.66277786326017,0.0004288232452815,-7.754465739598784,0.0916878763386135,-0.7933713547031221,-0.022396395195866847,0.01776865839701138,0.07391921794160212,0.00043651095693477906,-7.736697081201772
ES,2004,21,21.0,0.00046,-7.684284068481133,0.0004079312137704,-7.804411991473551,0.1201279229924177,-0.7933713547031221,0.009528202766377263,-0.007559403136646765,0.12768732612906447,0.00040485912348740724,-7.811971394610198
ES,2004,22,22.0,0.00048,-7.641724454062337,0.0004204647514415,-7.774149907411816,0.1324254533494793,-0.7933713547031221,-0.0030970907591287545,0.002457143091208501,0.1299683102582708,0.00042149916382986974,-7.7716927643206075
ES,2004,23,23.0,0.00051,-7.5810998322459024,0.0004267292883664,-7.759360730879532,0.1782608986336296,-0.7933713547031221,0.007365083306666807,-0.005843246120511595,0.1841041447541412,0.00042424307496008706,-7.765203977000044
ES,2004,24,24.0,0.00047,-7.66277786326017,0.0004335616816696,-7.743476484276957,0.0806986210167863,-0.7933713547031221,0.01800911873033555,-0.014287918924095686,0.09498653994088199,0.00042741103213911146,-7.757764403201052
ES,2004,25,25.0,0.00051,-7.5810998322459024,0.0004400142817892,-7.7287033729669155,0.147603540721013,-0.7933713547031221,-0.011029524909087455,0.008750509118854544,0.13885303160215845,0.00044388152627683556,-7.719952863848061
ES,2004,26,26.0,0.00048,-7.641724454062337,0.0004279362378646,-7.756536350432441,0.1148118963701039,-0.7933713547031221,-0.031097271331795188,0.02467168428407691,0.09014021208602699,0.0004386254640271294,-7.731864666148364
ES,2004,27,27.0,0.00053,-7.542633551418106,0.0004607909251316,-7.682566142501233,0.1399325910831264,-0.7933713547031221,-0.0079235688913933,0.006286332585448218,0.13364625849767817,0.0004636967340106051,-7.676279809915784
ES,2004,28,28.0,0.00059,-7.435388021064509,0.0004501054635879,-7.706028639129935,0.2706406180654257,-0.7933713547031221,-0.021477533117638545,0.017039659545222064,0.25360095852020365,0.0004578408242403489,-7.688988979584712
ES,2004,29,29.0,0.00055,-7.505592279737757,0.0004854822185875,-7.630367895852023,0.1247756161142659,-0.7933713547031221,-0.004275024603181553,0.003391682060815326,0.12138393405345056,0.0004871316154528968,-7.626976213791208
ES,2004,30,30.0,0.00058,-7.4524824544238095,0.0005069792104041,-7.5870405603338575,0.134558105910048,-0.7933713547031221,-0.028005810153739617,0.022219007541230854,0.11233909836881714,0.0005183698611693913,-7.564821552792627
ES,2004,31,31.0,0.00067,-7.308232845579262,0.0005365109958743,-7.5304235005315165,0.2221906549522545,-0.7933713547031221,-0.036588221796833145,0.029028047093131816,0.1931626078591227,0.0005523131049193077,-7.501395453438385
ES,2004,32,32.0,0.00065,-7.338538195074591,0.0005502361717367,-7.5051629687472605,0.1666247736726696,-0.7933713547031221,-0.016023105685786396,0.012712273064483652,0.15391250060818593,0.0005572755727979114,-7.492450695682777
ES,2004,33,33.0,0.00074,-7.208860371766058,0.0006009399054378,-7.417015619380441,0.2081552476143828,-0.7933713547031221,-0.007555540060437097,0.005994349053262689,0.20216089856112013,0.000604552967148862,-7.411021270327178
ES,2004,34,34.0,0.00078,-7.156216638280637,0.0006518078936171,-7.33576068114446,0.1795440428638226,-0.7933713547031221,-0.014722433570540979,0.01168035706638682,0.1678636857974358,0.0006594658794928407,-7.324080324078072
ES,2004,35,35.0,0.00088,-7.035588650492022,0.0007227755868285,-7.232411775648712,0.1968231251566905,-0.7933713547031221,-0.030068622355405524,0.023855583652164666,0.17296754150452584,0.0007402251272672827,-7.208556191996547
ES,2004,36,36.0,0.00093,-6.980325971816972,0.0007835194814832,-7.15171463178909,0.1713886599721172,-0.7933713547031221,-0.04182670015268112,0.033184105762893906,0.13820455420922328,0.0008099560864504044,-7.118530526026196
ES,2004,37,37.0,0.00113,-6.785537646257888,0.0008540385472659,-7.065534227880596,0.2799965816227079,-0.7933713547031221,-0.03800814902299152,0.030154576680128935,0.24984200494257897,0.0008801839385974173,-7.035379651200467
ES,2004,38,38.0,0.00111,-6.803395263657894,0.000942461781907,-6.967015189165024,0.1636199255071302,-0.7933713547031221,-0.043803473634620824,0.034752421218201615,0.12886750428892857,0.0009757903812313386,-6.932262767946822
ES,2004,39,39.0,0.00133,-6.622576336748475,0.0010410424430389,-6.867532718769335,0.2449563820208595,-0.7933713547031221,-0.07385186637052273,0.05859195526973556,0.18636442675112394,0.0011038615313453146,-6.8089407634996
ES,2004,40,40.0,0.00126,-6.676643558018751,0.0011682235866608,-6.752270985960234,0.075627427941483,-0.7933713547031221,-0.04690603518063869,0.037213904675015626,0.038413523266467374,0.0012125167979306014,-6.715057081285218
ES,2004,41,41.0,0.00142,-6.557098407368968,0.0012844660976401,-6.657412135191913,0.1003137278229449,-0.7933713547031221,-0.05026365073060458,0.03987774067246433,0.06043598715048057,0.0013367227166976002,-6.617534394519448
ES,2004,42,42.0,0.00154,-6.475972862556599,0.0014127629245781,-6.562207970971543,0.0862351084149439,-0.7933713547031221,-0.06685808661838182,0.05304329075328426,0.03319181766165964,0.0014897235990616094,-6.509164680218259
ES,2004,43,43.0,0.00166,-6.400937676613685,0.0015776684611466,-6.451807179300242,0.0508695026865568,-0.7933713547031221,-0.055319343304923656,0.04388878233911437,0.006980720347442432,0.0016484523565514955,-6.4079183969611275
ES,2004,44,44.0,0.00193,-6.250235276065343,0.0017499611135179,-6.348161712140469,0.0979264360751264,-0.7933713547031221,-0.05846501607827734,0.04638446900876271,0.051541967066363686,0.001833044115328777,-6.301777243131706
ES,2004,45,45.0,0.00215,-6.142287436842565,0.0019448371540838,-6.242577030823652,0.1002895939810866,-0.7933713547031221,-0.06937338850449987,0.05503885921816106,0.045250734762925536,0.0020548792916707343,-6.187538171605491
ES,2004,46,46.0,0.00223,-6.10575369351011,0.0021311779949876,-6.151080402846246,0.0453267093361358,-0.7933713547031221,-0.056673391960445775,0.044963045755279894,0.0003636635808559052,0.0022291891776569047,-6.106117357090966
ES,2004,47,47.0,0.0025,-5.991464547107982,0.0023762209705878,-6.0422438807169145,0.0507793336089328,-0.7933713547031221,-0.07278151966673327,0.0577427728553481,-0.0069634392464153,0.002517469350907969,-5.984501107861567
ES,2004,48,48.0,0.0028,-5.8781358618009785,0.0026193971453144,-5.944811084893782,0.0666752230928038,-0.7933713547031221,-0.048721874347788935,0.0386545394549806,0.028020683637823195,0.0027226311125452415,-5.906156545438802
ES,2004,49,49.0,0.00281,-5.874570795636482,0.002856163434491,-5.858276011180231,-0.0162947844562513,-0.7933713547031221,-0.05394366444828174,0.042797358140983933,-0.059092142597235234,0.0029810530958000237,-5.815478653039247
ES,2004,50,50.0,0.00322,-5.73837391942582,0.0031520335408272,-5.75970746591773,0.0213335464919097,-0.7933713547031221,-0.04477692155218655,0.03552472691129367,-0.014191180419383973,0.0032660213774359397,-5.724182739006436
ES,2004,51,51.0,0.00352,-5.649294289372131,0.0034733858722857,-5.662625405061569,0.0133311156894384,-0.7933713547031221,-0.022027610039892332,0.017476074818221474,-0.004144959128783075,0.003534620535962756,-5.645149330243348
ES,2004,52,52.0,0.00365,-5.613028111387737,0.0037435882171788,-5.587710711143415,-0.0253174002443223,-0.7933713547031221,-0.031745896598611774,0.02518628499070586,-0.050503685235028156,0.0038390726991048806,-5.5625244261527085
ES,2004,53,53.0,0.0039,-5.546778725846536,0.0040331005637307,-5.51321982818463,-0.0335588976619067,-0.7933713547031221,-0.018478897704762805,0.014660628105448081,-0.04821952576735478,0.004092663902340402,-5.498559200079182
ES,2004,54,54.0,0.00415,-5.48464694473953,0.004383806183911,-5.429837940188008,-0.0548090045515223,-0.7933713547031221,-0.02276082068967687,0.01805778314472379,-0.07286678769624609,0.004463687070551135,-5.411780157043284
ES,2004,55,55.0,0.00451,-5.40145812546755,0.0046577253653807,-5.369228069030461,-0.0322300564370889,-0.7933713547031221,-0.011802718253971015,0.009363938570332252,-0.041593995007421156,0.004701544860925671,-5.359864130460129
ES,2004,56,56.0,0.00499,-5.30031936921871,0.0050327102580959,-5.291796621274217,-0.0085227479444931,-0.7933713547031221,-0.009497846384814686,0.007535319253082579,-0.01605806719757568,0.00507077657741314,-5.284261302021134
