country,age,age_num,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_absolute_mx_impact,lambda_xr
ES,65,65.0,4.033746924744858,0.03970541634127649,0.040567139530189235,4.056713953018924,3.9354164063004182,1.3277025445517676,6.278114662356127,0.00025573851054842443,0.0098433087355345
ES,66,66.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,67,67.0,4.033746924744858,0.015208430230037536,0.015333677750495501,1.53336777504955,1.4894674911301253,0.5064839401214716,2.359658352573746,0.000111769951927877,0.0037702985620496
ES,68,68.0,4.033746924744858,0.02223789205412394,0.022506397240771397,2.2506397240771396,2.185388593329085,0.7414510655825213,3.469048493323479,0.00017138982017747735,0.00551296163815
ES,69,69.0,4.033746924744858,0.005011405928775121,0.005024952599871225,0.5024952599871224,0.48837127551049075,0.16661147574785762,0.771471581136951,4.167630685256958e-05,0.001242369940968
ES,70,70.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,71,71.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,72,72.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,73,73.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,74,74.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,75,75.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,76,76.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,77,77.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,78,78.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,79,79.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,80,80.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,81,81.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,82,82.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,83,83.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,84,84.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,85,85.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,20,20.0,2.370625754874766,0.10739311589122176,0.11549722074210882,11.54972207421088,11.631921949849012,-2.4018369665133488,25.387474849469484,1.5393479346373216e-05,0.0453015899580046
FR,21,21.0,2.370625754874766,0.12479619342735093,0.13583686297235306,13.583686297235307,13.640339580071338,-2.7855866692342857,30.06973741088035,2.1586519876868117e-05,0.0526427223574746
FR,22,22.0,2.370625754874766,0.08067236182278575,0.08518410109916665,8.518410109916664,8.61706123350936,-1.8096755510964568,18.524270232098527,1.324780440219765e-05,0.034029986241775
FR,23,23.0,2.370625754874766,0.06487630509431512,0.06777115455806917,6.777115455806919,6.8732530267797465,-1.4579291436271347,14.645087228349073,1.1219174015328125e-05,0.0273667427095604
FR,24,24.0,2.370625754874766,0.1265563681906957,0.13792086750939164,13.792086750939166,13.845475518155915,-2.824315598578564,30.552938241482774,2.4188250824850205e-05,0.0533852160892352
FR,25,25.0,2.370625754874766,0.05850285440841008,0.06084937436337221,6.0849374363372215,6.177607275742347,-1.315648697043581,13.116085498993835,1.1593695941830073e-05,0.0246782328624033
