experiment_type,experiment_name,experiment_code,mean_C_tr,mean_lambda_xr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_delta_vs_baseline_relative_mx_impact_pct,mean_delta_vs_baseline_climate_component,rows,excluded_component,w_temp_anomaly,w_extreme_heat_days,w_heatwave_duration,lambda_factor
C_weights,C1_base_20_70_10,C1,3.333882868531188,0.010316960866446774,0.029450057400283017,0.031094984449056697,3.10949844490567,0.0,-3.2929716117121255,36.56042664565737,0.0,0.0,6138,none,0.2,0.7,0.1,
C_weights,C2_equal_weights_33_33_33,C2,3.088585619914953,0.01028339109990756,0.027358124744463294,0.028867446638388042,2.8867446638388046,0.0,-1.7170514908549928,35.611473109028545,-0.2227537810668652,-0.0020919326558197235,6138,none,0.3333333333333333,0.3333333333333333,0.3333333333333333,
C_weights,C3_duration_heavy_25_35_40,C3,3.357735510192542,0.009949466717685306,0.028872704311126932,0.030535359786157203,3.0535359786157206,0.0,-0.7490344631459034,36.77244013797338,-0.05596246628994958,-0.0005773530891560844,6138,none,0.25,0.35,0.4,
C_weights,C4_temp_heavy_60_25_15,C4,2.243659727717367,0.010667723502577418,0.020445390943046867,0.02136175126627294,2.136175126627294,0.0,-4.535091794560464,28.832150112528222,-0.9733233182783755,-0.009004666457236151,6138,none,0.6,0.25,0.15,
component_exclusion,E1_base_20_70_10,E1,3.333882868531188,0.010316960866446774,0.029450057400283017,0.031094984449056697,3.10949844490567,0.0,-3.2929716117121255,36.56042664565737,0.0,0.0,6138,none,0.2,0.7,0.1,
component_exclusion,E2_excl_temp_anomaly,E2,3.9062507000892617,0.00916900322970825,0.03089912505881935,0.03265083237449321,3.2650832374493213,0.0,-1.8443717269911009,36.05078700640758,0.15558479254365135,0.0014490676585363314,6138,temp_anomaly,0.0,0.875,0.12500000000000003,
component_exclusion,E3_excl_extreme_heat_days,E3,2.157352784944133,0.00968390094991459,0.018069135266001055,0.018831295601271406,1.8831295601271403,0.0,-2.9271123521236175,26.961212797159106,-1.2263688847785292,-0.011380922134281966,6138,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333,
component_exclusion,E4_excl_heatwave_duration,E4,3.217288157230808,0.010471189839910607,0.028763557561115594,0.03032473502010687,3.0324735020106868,0.0,-4.402178255167877,35.26270700742622,-0.07702494289498273,-0.0006864998391674251,6138,heatwave_duration,0.22222222222222227,0.7777777777777778,0.0,
lambda_shock,L1_lambda_50pct,L1,3.333882868531188,0.005158480433223375,0.014725028700141472,0.015126580074238496,1.5126580074238498,0.0,-1.6602682593206852,16.85907181115953,-1.5968404374818126,-0.014725028700141472,6138,not_applicable,,,,0.5
lambda_shock,L2_lambda_100pct,L2,3.333882868531188,0.01031696086644675,0.029450057400282944,0.031094984449056624,3.109498444905662,0.0,-3.2929716117121255,36.56042664565724,0.0,0.0,6138,not_applicable,,,,1.0
lambda_shock,L3_lambda_150pct,L3,3.333882868531188,0.015475441299670123,0.044175086100424414,0.04796707854522759,4.796707854522759,0.0,-4.8985677085751185,59.58324703947444,1.6872094096170964,0.014725028700141472,6138,not_applicable,,,,1.5
lambda_shock,L4_lambda_200pct,L4,3.333882868531188,0.0206339217328935,0.05890011480056589,0.06581016971527001,6.581016971527003,0.0,-6.477506603068994,86.48750125643951,3.47151852662134,0.029450057400282944,6138,not_applicable,,,,2.0
