age,country,year,mx,age_num,log_mx,a_xr_initial,y_centered_initial,a_xr,b_x,k_t,log_mx_hat_baseline,mx_hat_baseline,baseline_residual
20,ES,2004,0.00047,20.0,-7.66277786326017,-8.188265254489172,0.5254873912290021,-8.188265254489172,0.027065368019014283,16.027844682755862,-7.754465739598784,0.00042882324528153705,0.09168787633861353
21,ES,2004,0.00046,21.0,-7.6842840684811335,-8.18419600720037,0.49991193871923656,-8.18419600720037,0.023695264288118734,16.027844682755862,-7.804411991473551,0.00040793121377043126,0.1201279229924177
22,ES,2004,0.00048,22.0,-7.641724454062337,-8.164730480475352,0.5230060264130154,-8.164730480475352,0.024368876838677903,16.027844682755862,-7.774149907411816,0.00042046475144158474,0.1324254533494793
23,ES,2004,0.00051,23.0,-7.5810998322459024,-8.14178359403389,0.5606837617879883,-8.14178359403389,0.023859905728048508,16.027844682755862,-7.759360730879532,0.00042672928836641884,0.1782608986336296
24,ES,2004,0.00047,24.0,-7.66277786326017,-8.1084794375383,0.4457015742781296,-8.1084794375383,0.022773052801918214,16.027844682755862,-7.743476484276957,0.00043356168166967536,0.08069862101678638
25,ES,2004,0.00051,25.0,-7.5810998322459024,-8.072934190365274,0.4918343581193714,-8.072934190365274,0.021477049735121993,16.027844682755862,-7.7287033729669155,0.0004400142817892013,0.147603540721013
26,ES,2004,0.00048,26.0,-7.641724454062337,-8.080754308309267,0.43902985424692975,-8.080754308309267,0.020228418997948437,16.027844682755862,-7.756536350432441,0.0004279362378646316,0.11481189637010392
27,ES,2004,0.00053,27.0,-7.542633551418106,-8.03269252567724,0.49005897425913325,-8.03269252567724,0.021844882459629948,16.027844682755862,-7.682566142501233,0.00046079092513165085,0.1399325910831264
28,ES,2004,0.00059,28.0,-7.435388021064509,-8.025617186039081,0.5902291649745726,-8.025617186039081,0.01993958347081985,16.027844682755862,-7.706028639129935,0.0004501054635879671,0.2706406180654257
29,ES,2004,0.00055,29.0,-7.505592279737757,-7.936879841552711,0.43128756181495387,-7.936879841552711,0.019123715743917843,16.027844682755862,-7.630367895852023,0.00048548221858754257,0.12477561611426591
30,ES,2004,0.00058,30.0,-7.4524824544238095,-7.885998910298966,0.4335164558751563,-7.885998910298966,0.018652436174824778,16.027844682755862,-7.5870405603338575,0.000506979210404143,0.13455810591004802
31,ES,2004,0.00067,31.0,-7.308232845579262,-7.836681246376088,0.528448400796826,-7.836681246376088,0.019107855853761156,16.027844682755862,-7.5304235005315165,0.0005365109958743972,0.22219065495225454
32,ES,2004,0.00065,32.0,-7.338538195074591,-7.802351248446023,0.46381305337143175,-7.802351248446023,0.018541998976225594,16.027844682755862,-7.5051629687472605,0.0005502361717367071,0.1666247736726696
33,ES,2004,0.00074,33.0,-7.208860371766058,-7.710173145939573,0.5013127741735142,-7.710173145939573,0.018290514561482833,16.027844682755862,-7.417015619380441,0.0006009399054378803,0.20815524761438287
34,ES,2004,0.00078,34.0,-7.156216638280637,-7.616350005870328,0.46013336758969103,-7.616350005870328,0.017506366593865882,16.027844682755862,-7.33576068114446,0.0006518078936171766,0.17954404286382264
35,ES,2004,0.00088,35.0,-7.035588650492022,-7.557493238012394,0.521904587520372,-7.557493238012394,0.02028229426963641,16.027844682755862,-7.232411775648712,0.0007227755868285615,0.19682312515669054
36,ES,2004,0.00093,36.0,-6.980325971816972,-7.478957959096904,0.4986319872799321,-7.478957959096904,0.02041717609479281,16.027844682755862,-7.15171463178909,0.0007835194814832284,0.17138865997211727
37,ES,2004,0.00113,37.0,-6.785537646257888,-7.380509472558332,0.5949718263004442,-7.380509472558332,0.019651752990632196,16.027844682755862,-7.065534227880596,0.0008540385472659565,0.2799965816227079
38,ES,2004,0.00111,38.0,-6.803395263657894,-7.29185847180832,0.4884632081504261,-7.29185847180832,0.0202674338985073,16.027844682755862,-6.967015189165024,0.0009424617819070389,0.16361992550713023
39,ES,2004,0.00133,39.0,-6.622576336748475,-7.193465343122429,0.570889006373954,-7.193465343122429,0.020335399475374303,16.027844682755862,-6.8675327187693345,0.0010410424430389574,0.24495638202085956
40,ES,2004,0.00126,40.0,-6.676643558018751,-7.077947167903955,0.4013036098852041,-7.077947167903955,0.020319399669134045,16.027844682755862,-6.752270985960234,0.0011682235866608578,0.07562742794148303
41,ES,2004,0.00142,41.0,-6.557098407368968,-6.985908311238438,0.42880990386947015,-6.985908311238438,0.020495343107482796,16.027844682755862,-6.657412135191913,0.0012844660976401101,0.1003137278229449
42,ES,2004,0.00154,42.0,-6.475972862556599,-6.886627376331624,0.41065451377502526,-6.886627376331624,0.020240987592618713,16.027844682755862,-6.562207970971543,0.001412762924578165,0.08623510841494397
