country,model,residual_column,n_observations,mean_residual,mae,mse,rmse,sse
ES,baseline,baseline_residual,1320,6.261826074495674e-17,0.04751018707738622,0.004630626978668688,0.0680487103380269,6.112427611842668
FR,baseline,baseline_residual,1320,-9.488411739812536e-18,0.03733826536395775,0.002515605102349318,0.05015580826135013,3.3205987351010995
IT,baseline,baseline_residual,1320,5.0359548181387306e-18,0.035767600807450076,0.0022738985354976075,0.04768541218756117,3.0015460668568417
ES,climate_adjusted,residual_after_climate,1320,6.289029692641674e-17,0.04225514010239643,0.0038143305386553012,0.06176026666599895,5.034916311024998
FR,climate_adjusted,residual_after_climate,1320,-1.045827986501775e-17,0.0317484027007685,0.0018822234056457775,0.04338459871481788,2.4845348954524265
IT,climate_adjusted,residual_after_climate,1320,6.933637166101238e-18,0.03178222102671938,0.001852786591901768,0.043044007618967914,2.4456783013103336
