experiment_type,experiment_code,experiment_name,model,residual_column,n_observations,mean_residual,mae,mse,rmse,sse,excluded_component,w_temp_anomaly,w_extreme_heat_days,w_heatwave_duration
C_weights,C1,C1_base_20_70_10,baseline,baseline_residual,3960,1.9383344536621658e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609,none,0.2,0.7,0.1
C_weights,C1,C1_base_20_70_10,climate_adjusted,residual_after_climate,3960,1.9771467011297276e-17,0.03778679528822982,0.0028581161839398247,0.05346135224570947,11.318140088401705,none,0.2,0.7,0.1
C_weights,C2,C2_equal_weights_33_33_33,baseline,baseline_residual,3960,1.9383344536621658e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C2,C2_equal_weights_33_33_33,climate_adjusted,residual_after_climate,3960,1.9809140298906872e-17,0.037940399444289896,0.002865697491483049,0.05353220985054745,11.348162066272874,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C3,C3_duration_heavy_25_35_40,baseline,baseline_residual,3960,1.9383344536621658e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609,none,0.25,0.35,0.4
C_weights,C3,C3_duration_heavy_25_35_40,climate_adjusted,residual_after_climate,3960,1.9788989470650578e-17,0.0380134917634363,0.0028789291819224113,0.053655653774065705,11.400559560412749,none,0.25,0.35,0.4
C_weights,C4,C4_temp_heavy_60_25_15,baseline,baseline_residual,3960,1.9383344536621658e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609,none,0.6,0.25,0.15
C_weights,C4,C4_temp_heavy_60_25_15,climate_adjusted,residual_after_climate,3960,1.9582224450281624e-17,0.03779529289313712,0.0028397652728091014,0.05328944804376474,11.245470480324041,none,0.6,0.25,0.15
component_exclusion,E1,E1_base_20_70_10,baseline,baseline_residual,3960,1.9383344536621658e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609,none,0.2,0.7,0.1
component_exclusion,E1,E1_base_20_70_10,climate_adjusted,residual_after_climate,3960,1.9771467011297276e-17,0.03778679528822982,0.0028581161839398247,0.05346135224570947,11.318140088401705,none,0.2,0.7,0.1
component_exclusion,E2,E2_excl_temp_anomaly,baseline,baseline_residual,3960,1.9383344536621658e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E2,E2_excl_temp_anomaly,climate_adjusted,residual_after_climate,3960,1.9692615944207422e-17,0.038004859907212606,0.0028933721152112585,0.05379007450460781,11.457753576236584,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E3,E3_excl_extreme_heat_days,baseline,baseline_residual,3960,1.9383344536621658e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333
component_exclusion,E3,E3_excl_extreme_heat_days,climate_adjusted,residual_after_climate,3960,1.950205919874027e-17,0.038102299778963955,0.00287172223635388,0.053588452453433286,11.372020055961366,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333
component_exclusion,E4,E4_excl_heatwave_duration,baseline,baseline_residual,3960,1.9383344536621658e-17,0.04020535108293134,0.0031400435388385375,0.056036091395086945,12.434572413800609,heatwave_duration,0.22222222222222227,0.7777777777777778,0.0
component_exclusion,E4,E4_excl_heatwave_duration,climate_adjusted,residual_after_climate,3960,1.983630011090449e-17,0.03770651869550505,0.002849170190229439,0.05337761881378223,11.282713953308578,heatwave_duration,0.22222222222222227,0.7777777777777778,0.0
