experiment_type,experiment_code,experiment_name,country,mae_baseline,mae_climate_adjusted,mse_baseline,mse_climate_adjusted,rmse_baseline,rmse_climate_adjusted,sse_baseline,sse_climate_adjusted,mae_improvement,mae_improvement_pct,mse_improvement,mse_improvement_pct,rmse_improvement,rmse_improvement_pct,sse_improvement,sse_improvement_pct,excluded_component,w_temp_anomaly,w_extreme_heat_days,w_heatwave_duration
C_weights,C1,C1_base_20_70_10,ES,0.04751018707738622,0.047530111089794144,0.004630626978668688,0.004620924093801951,0.0680487103380269,0.06797737928018371,6.112427611842668,6.099619803818575,-1.9924012407926406e-05,-0.04193629542117671,9.702884866737496e-06,0.2095371730747159,7.13310578431825e-05,0.1048235263957991,0.012807808024093426,0.20953717307471476,none,0.2,0.7,0.1
C_weights,C1,C1_base_20_70_10,FR,0.03733826536395775,0.03247149401762531,0.002515605102349318,0.00195369418052169,0.05015580826135013,0.04420061289757971,3.3205987351010995,2.5788763182886303,0.004866771346332441,13.034272746452453,0.0005619109218276282,22.33700835249781,0.00595519536377042,11.873391278512145,0.7417224168124692,22.337008352497808,none,0.2,0.7,0.1
C_weights,C1,C1_base_20_70_10,IT,0.035767600807450076,0.033358780757269994,0.0022738985354976075,0.001999730277495834,0.04768541218756117,0.044718343859045516,3.0015460668568417,2.639643966294501,0.0024088200501800813,6.734642513898627,0.00027416825800177357,12.057189611662954,0.0029670683285156554,6.222171923030206,0.36190210056234084,12.057189611662945,none,0.2,0.7,0.1
C_weights,C2,C2_equal_weights_33_33_33,ES,0.04751018707738622,0.04752783696083027,0.004630626978668688,0.004616822594256381,0.0680487103380269,0.06794720446240876,6.112427611842668,6.094205824418423,-1.7649883444055547e-05,-0.03714968205725398,1.3804384412307615e-05,0.2981104821420186,0.00010150587561813529,0.14916649428609655,0.018221787424245406,0.298110482142008,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C2,C2_equal_weights_33_33_33,FR,0.03733826536395775,0.03302529127484747,0.002515605102349318,0.0019900639730330407,0.05015580826135013,0.04461013307571544,3.3205987351010995,2.626884444403614,0.004312974089110279,11.551083177188914,0.0005255411293162773,20.891241189862257,0.005545675185634695,11.056895258745477,0.6937142906974856,20.891241189862246,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C2,C2_equal_weights_33_33_33,IT,0.035767600807450076,0.03326807009719193,0.0022738985354976075,0.0019902059071597255,0.04768541218756117,0.044611723875677856,3.0015460668568417,2.6270717974508377,0.0024995307102581438,6.988253765507005,0.00028369262833788204,12.476046046434535,0.003073688311883316,6.445762280073345,0.3744742694060039,12.476046046434524,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C3,C3_duration_heavy_25_35_40,ES,0.04751018707738622,0.04752879430067565,0.004630626978668688,0.004616131302247804,0.0680487103380269,0.06794211729294138,6.112427611842668,6.093293318967101,-1.860722328943243e-05,-0.03916470221244203,1.4495676420884368e-05,0.3130391734782294,0.0001065930450855207,0.15664227074404158,0.01913429287556756,0.31303917347823257,none,0.25,0.35,0.4
C_weights,C3,C3_duration_heavy_25_35_40,FR,0.03733826536395775,0.033131998073950605,0.002515605102349318,0.0020185911978910444,0.05015580826135013,0.044928734657132784,3.3205987351010995,2.6645403812161788,0.004206267290007143,11.265299148222912,0.0004970139044582736,19.757230735226027,0.0052270736042173485,10.421671557918668,0.6560583538849207,19.757230735226013,none,0.25,0.35,0.4
C_weights,C3,C3_duration_heavy_25_35_40,IT,0.035767600807450076,0.03337968291568265,0.0022738985354976075,0.0020020650456283855,0.04768541218756117,0.04474444150538014,3.0015460668568417,2.642725860229469,0.002387917891767427,6.6762037091122,0.000271833489869222,11.954512728939132,0.002940970682181028,6.167443138822621,0.3588202066273727,11.954512728939122,none,0.25,0.35,0.4
C_weights,C4,C4_temp_heavy_60_25_15,ES,0.04751018707738622,0.04751899909103335,0.004630626978668688,0.004618340430995522,0.0680487103380269,0.06795837278066273,6.112427611842668,6.096209368914089,-8.812013647128969e-06,-0.018547629864676517,1.2286547673166608e-05,0.26533226990136455,9.03375573641646e-05,0.13275425340968186,0.016218242928579762,0.265332269901362,none,0.6,0.25,0.15
C_weights,C4,C4_temp_heavy_60_25_15,FR,0.03733826536395775,0.032907856548764484,0.002515605102349318,0.0019386239558749664,0.05015580826135013,0.04402980758389669,3.3205987351010995,2.5589836217549555,0.004430408815193264,11.86559892916154,0.0005769811464743516,22.93607792159072,0.00612600067745344,12.213940697620284,0.761615113346144,22.93607792159072,none,0.6,0.25,0.15
C_weights,C4,C4_temp_heavy_60_25_15,IT,0.035767600807450076,0.032959023039613525,0.0022738985354976075,0.001962331431556815,0.04768541218756117,0.04429821025229817,3.0015460668568417,2.5902774896549956,0.002808577767836551,7.85229566544354,0.0003115671039407926,13.701891226760958,0.0033872019352629984,7.103224612886027,0.41126857720184606,13.701891226760953,none,0.6,0.25,0.15
component_exclusion,E1,E1_base_20_70_10,ES,0.04751018707738622,0.047530111089794144,0.004630626978668688,0.004620924093801951,0.0680487103380269,0.06797737928018371,6.112427611842668,6.099619803818575,-1.9924012407926406e-05,-0.04193629542117671,9.702884866737496e-06,0.2095371730747159,7.13310578431825e-05,0.1048235263957991,0.012807808024093426,0.20953717307471476,none,0.2,0.7,0.1
component_exclusion,E1,E1_base_20_70_10,FR,0.03733826536395775,0.03247149401762531,0.002515605102349318,0.00195369418052169,0.05015580826135013,0.04420061289757971,3.3205987351010995,2.5788763182886303,0.004866771346332441,13.034272746452453,0.0005619109218276282,22.33700835249781,0.00595519536377042,11.873391278512145,0.7417224168124692,22.337008352497808,none,0.2,0.7,0.1
component_exclusion,E1,E1_base_20_70_10,IT,0.035767600807450076,0.033358780757269994,0.0022738985354976075,0.001999730277495834,0.04768541218756117,0.044718343859045516,3.0015460668568417,2.639643966294501,0.0024088200501800813,6.734642513898627,0.00027416825800177357,12.057189611662954,0.0029670683285156554,6.222171923030206,0.36190210056234084,12.057189611662945,none,0.2,0.7,0.1
component_exclusion,E2,E2_excl_temp_anomaly,ES,0.04751018707738622,0.0475272543696406,0.004630626978668688,0.004620952326184889,0.0680487103380269,0.06797758693999728,6.112427611842668,6.099657070564054,-1.706729225438297e-05,-0.035923437275848194,9.674652483799076e-06,0.2089274849467696,7.112339802961554e-05,0.10451836291432322,0.012770541278614544,0.20892748494676575,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E2,E2_excl_temp_anomaly,FR,0.03733826536395775,0.03287132660034501,0.002515605102349318,0.00202721771302571,0.05015580826135013,0.045024634512960904,3.3205987351010995,2.675927381193937,0.004466938763612739,11.963434080482566,0.0004883873893236079,19.41431065104392,0.005131173748389228,10.230467669171809,0.6446713539071625,19.414310651043923,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E2,E2_excl_temp_anomaly,IT,0.035767600807450076,0.033615998751652214,0.0022738985354976075,0.0020319463064231774,0.04768541218756117,0.04507711510759287,3.0015460668568417,2.682169124478594,0.002151602055797862,6.015505673362643,0.00024195222907443014,10.640414481883758,0.0026082970799682983,5.469800847498341,0.31937694237824754,10.640414481883752,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E3,E3_excl_extreme_heat_days,ES,0.04751018707738622,0.047510359805424736,0.004630626978668688,0.004614765015568285,0.0680487103380269,0.06793206176444437,6.112427611842668,6.091489820550136,-1.7272803851803298e-07,-0.00036356000500837357,1.5861963100403075e-05,0.34254460947669363,0.00011664857358252567,0.1714192274961312,0.020937791292531927,0.34254460947669146,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333
component_exclusion,E3,E3_excl_extreme_heat_days,FR,0.03733826536395775,0.03378993186030807,0.002515605102349318,0.0020282434760978464,0.05015580826135013,0.04503602420393974,3.3205987351010995,2.677281388449157,0.0035483335036496783,9.50320929229575,0.00048736162625147164,19.373534653603848,0.005119784057410391,10.207759051020371,0.6433173466519424,19.37353465360384,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333
