experiment_type,experiment_name,experiment_code,country,year,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_delta_vs_baseline_relative_mx_impact_pct,mean_delta_vs_baseline_climate_component
C_weights,C1_base_20_70_10,C1,ES,2030,3.3356493148354733,0.0037730505583545354,0.0038322361683095587,0.3832236168309559,0.0,0.0,6.191311255592735,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2031,3.1768723982451736,0.003593453341365797,0.003647102663761808,0.3647102663761808,0.0,0.0,5.888098101043382,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2032,3.509483966110703,0.003969680019712562,0.0040352432400193395,0.40352432400193394,0.0,0.0,6.524275635659915,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2033,3.4856777973581137,0.0039427521655449336,0.004007422427163629,0.4007422427163629,0.0,0.0,6.478615471874449,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2034,4.777604081491072,0.005404087793970006,0.005526245890606921,0.552624589060692,0.0,0.0,8.985040003793433,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2035,1.3399618528623516,0.001515670065983972,0.00152514111051875,0.15251411105187498,0.0,0.0,2.4425053810372965,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2036,5.565286479249426,0.006295058405733727,0.006461372102629429,0.6461372102629429,0.0,0.0,10.542060988445368,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2037,3.040135344824938,0.0034387860586090604,0.0034878881901352255,0.34878881901352254,0.0,0.0,5.6276679830368215,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2038,4.22265414444153,0.004776367679469041,0.0048715711808125116,0.48715711808125123,0.0,0.0,7.901250953281136,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2039,2.9049669611192535,0.0032858931440738377,0.0033307005388153892,0.33307005388153893,0.0,0.0,5.37085511127704,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2040,3.4122499895695406,0.0038596958232780037,0.003921650959714165,0.3921650959714166,0.0,0.0,6.3379043901411025,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2041,3.439249019301851,0.003890235215939414,0.003953181823855572,0.3953181823855572,0.0,0.0,6.389621506717114,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2042,3.9213972861314317,0.004435607230701329,0.004517606621453548,0.4517606621453547,0.0,0.0,7.3174318358075086,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2043,6.185846348680264,0.006996991834836997,0.007203005976025634,0.7203005976025634,0.0,0.0,11.784378898204405,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2044,4.7016689192693635,0.005318195309725603,0.005436463062736421,0.5436463062736421,0.0,0.0,8.836102059989482,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2045,4.161730793855499,0.004707455494688971,0.004799907853337319,0.4799907853337319,0.0,0.0,7.7829292278418505,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2046,4.948003763161143,0.005596831860682669,0.0057279538616959,0.5727953861695899,0.0,0.0,9.320001331204919,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2047,5.121837052094335,0.005793459781055748,0.0059340603645658225,0.5934060364565822,0.0,0.0,9.662773073364384,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2048,3.5502614490107827,0.004015804623980809,0.00408291182719958,0.408291182719958,0.0,0.0,6.602532229428082,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,2049,2.3086743106262055,0.0026114090764953876,0.0026396385893458713,0.2639638589345871,0.0,0.0,4.245362550126863,0.0,0.0
