year,k_t
2004,16.027844682755862
2005,14.854599389598459
2006,11.987343903797997
2007,10.58689134390758
2008,8.656179812249313
2009,6.991142300128128
2010,3.8062202731669594
2011,2.5394955626357953
2012,0.7898450659878572
2013,-1.9461182152877863
2014,-3.71587364940433
2015,-3.2642552776379037
2016,-5.145317410406291
2017,-4.058887954996105
2018,-5.630771319791727
2019,-7.34031727969481
2022,-4.1311949658327105
2023,-9.459149146552763
2024,-15.00488579792887
2025,-16.542791316694665
