age,b_x
20,0.027065368019014283
21,0.023695264288118734
22,0.024368876838677903
23,0.023859905728048508
24,0.022773052801918214
25,0.021477049735121993
26,0.020228418997948437
27,0.021844882459629948
28,0.01993958347081985
29,0.019123715743917843
30,0.018652436174824778
31,0.019107855853761156
32,0.018541998976225594
33,0.018290514561482833
34,0.017506366593865882
35,0.02028229426963641
36,0.02041717609479281
37,0.019651752990632196
38,0.0202674338985073
39,0.020335399475374303
40,0.020319399669134045
41,0.020495343107482796
42,0.020240987592618713
43,0.01964334143697972
44,0.02027819283182161
45,0.019317153767295814
46,0.018954085157196654
47,0.01798657493397922
48,0.017220232470692053
49,0.016495468408212678
50,0.015773513858200243
51,0.015010303509196268
52,0.01375066533335655
53,0.01295815778978835
54,0.012093797968350164
55,0.011123008713019614
56,0.0097378469097369
57,0.009929976269879456
58,0.00935670774989911
59,0.008908196402758034
60,0.008778985536951035
61,0.00800832928859658
62,0.007443410213112718
63,0.007222264733534511
64,0.007559181092484768
65,0.007919647211399497
66,0.007934399503536919
67,0.008404693358453006
68,0.009200825359483569
69,0.009487510691631477
70,0.009992018752246168
71,0.010527324752195758
72,0.011559102396732036
73,0.01169743913549465
74,0.012327970030389813
75,0.012695972475206428
76,0.01295867437417588
77,0.013218506789362525
78,0.013120427703430103
79,0.012917105267199382
80,0.013361763206868073
81,0.01261299801953086
82,0.01222347467468327
83,0.011605682635583328
84,0.010462248076074009
85,0.009737743869726704
