country,year,source,scenario,period_type,temp_anomaly,extreme_heat_days,heatwave_duration,z_temp_anomaly,z_extreme_heat_days,z_heatwave_duration,C_tr_core,w_temp_anomaly,w_extreme_heat_days,w_heatwave_duration,C_tr_definition,standardization_period,standardization_source
ES,2024,ERA5,historical,historical,0.601818684510965,32,21,1.1876356421329495,1.0943902414761022,1.1808213310068103,1.1216824305605424,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2025,ERA5,historical,historical,0.6764473275932996,36,25,1.3349086310409304,1.413920238987373,1.5512750819109076,1.411853401690438,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2004,ERA5,historical,historical,-0.5697206129266377,10,0,-0.9514903568763713,-0.80957310944808,-0.6589578174675967,-0.82289502973569,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2005,ERA5,historical,historical,-0.549618316739819,20,0,-0.9179175133828296,0.16581617904358256,-0.6589578174675967,-0.13340795909281783,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2006,ERA5,historical,historical,0.0538938899734322,22,15,0.09000818197687317,0.3608940367419151,1.400285362118643,0.4106559983265795,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2007,ERA5,historical,historical,-0.2556688236085946,2,0,-0.42699248490914093,-1.5898845402414101,-0.6589578174675967,-1.264213456897575,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2008,ERA5,historical,historical,-0.6043771018729647,6,0,-1.0093701567070803,-1.199728824844745,-0.6589578174675967,-1.1075799904794972,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2009,ERA5,historical,historical,-0.2968836820080103,15,0,-0.4958254171171228,-0.3218784652022487,-0.6589578174675967,-0.3903757908117583,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2010,ERA5,historical,historical,-1.3129773123030102,11,0,-2.1928033199224246,-0.7120341805989138,-0.6589578174675967,-1.0028803721504842,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2011,ERA5,historical,historical,0.3414456213468639,7,0,0.5702483089742728,-1.1021898959955787,-0.6589578174675967,-0.7233790471488102,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
