country,year,source,scenario,period_type,annual_mean_daily_tmax_c,annual_max_daily_tmax_c,extreme_heat_days_30c,extreme_heat_days_p95,heatwave_days_p95_6d,threshold_p95_c,fixed_threshold_c,min_heatwave_length_days
FR,2007,ERA5,historical,historical,14.648365642234994,26.708998247053408,0,2,0,24.855495546352785,30.0,6
FR,2008,ERA5,historical,historical,14.22455942396654,26.512446247326004,0,6,0,24.855495546352785,30.0,6
FR,2009,ERA5,historical,historical,14.694738486200245,28.136016696398737,0,15,0,24.855495546352785,30.0,6
FR,2010,ERA5,historical,historical,13.515065585592312,27.35753756640815,0,11,0,24.855495546352785,30.0,6
FR,2011,ERA5,historical,historical,15.417081929931102,27.749491262879893,0,7,0,24.855495546352785,30.0,6
FR,2012,ERA5,historical,historical,14.46390414007203,28.760089914207715,0,13,0,24.855495546352785,30.0,6
FR,2013,ERA5,historical,historical,13.97658300370684,28.129490146032932,0,20,0,24.855495546352785,30.0,6
FR,2014,ERA5,historical,historical,15.393966298698533,27.423631448272065,0,2,0,24.855495546352785,30.0,6
FR,2015,ERA5,historical,historical,15.303785037406259,28.698366948590134,0,24,8,24.855495546352785,30.0,6
FR,2016,ERA5,historical,historical,14.804973651178761,29.296776518467325,0,19,0,24.855495546352785,30.0,6
FR,2017,ERA5,historical,historical,15.124146466595555,28.110576208143502,0,17,0,24.855495546352785,30.0,6
FR,2018,ERA5,historical,historical,15.51985957633661,29.23980392435289,0,27,10,24.855495546352785,30.0,6
FR,2019,ERA5,historical,historical,15.373500165817703,31.578343541943614,3,24,6,24.855495546352785,30.0,6
FR,2022,ERA5,historical,historical,16.357472007434556,31.83849128249092,1,36,22,24.855495546352785,30.0,6
FR,2023,ERA5,historical,historical,15.9961223226041,29.360056590987593,0,30,17,24.855495546352785,30.0,6
FR,2024,ERA5,historical,historical,15.420351888085747,29.51309367138696,0,20,0,24.855495546352785,30.0,6
FR,2025,ERA5,historical,historical,15.909730509762035,30.11680325797329,1,41,18,24.855495546352785,30.0,6
FR,2030,CMIP6,ssp5_8_5,projection,15.08186000075636,31.12899484578624,5,43,24,24.855495546352785,30.0,6
FR,2031,CMIP6,ssp5_8_5,projection,15.449555085809918,29.996136110149482,0,40,22,24.855495546352785,30.0,6
FR,2032,CMIP6,ssp5_8_5,projection,15.304993571710515,29.98183248031164,0,44,21,24.855495546352785,30.0,6
FR,2033,CMIP6,ssp5_8_5,projection,15.344695943507853,30.544388303434367,5,52,29,24.855495546352785,30.0,6
FR,2034,CMIP6,ssp5_8_5,projection,16.075107380114865,33.23902763604601,4,36,19,24.855495546352785,30.0,6
FR,2035,CMIP6,ssp5_8_5,projection,14.225672113379284,28.770672362142456,0,13,12,24.855495546352785,30.0,6
FR,2036,CMIP6,ssp5_8_5,projection,15.380825844747106,32.44691601360493,6,56,25,24.855495546352785,30.0,6
FR,2037,CMIP6,ssp5_8_5,projection,15.22234698402275,28.769625079666323,0,23,0,24.855495546352785,30.0,6
FR,2038,CMIP6,ssp5_8_5,projection,17.54136318901903,32.507277551192956,21,71,58,24.855495546352785,30.0,6
FR,2039,CMIP6,ssp5_8_5,projection,15.987408363584034,31.682882398646885,6,42,30,24.855495546352785,30.0,6
FR,2040,CMIP6,ssp5_8_5,projection,15.825644538070245,32.636393341639554,9,40,35,24.855495546352785,30.0,6
FR,2041,CMIP6,ssp5_8_5,projection,15.597441885798467,31.24650589651063,4,36,25,24.855495546352785,30.0,6
FR,2042,CMIP6,ssp5_8_5,projection,15.869886916066802,29.904155859643424,0,66,58,24.855495546352785,30.0,6
FR,2043,CMIP6,ssp5_8_5,projection,15.8939695873068,33.261691495389115,14,61,49,24.855495546352785,30.0,6
FR,2044,CMIP6,ssp5_8_5,projection,15.43818848473481,32.13976964734658,6,56,27,24.855495546352785,30.0,6
FR,2045,CMIP6,ssp5_8_5,projection,15.51278774243862,33.55584046783017,9,57,55,24.855495546352785,30.0,6
FR,2046,CMIP6,ssp5_8_5,projection,16.50991127127938,33.08941347195531,10,58,39,24.855495546352785,30.0,6
FR,2047,CMIP6,ssp5_8_5,projection,16.10392210111953,31.457442277333833,3,46,26,24.855495546352785,30.0,6
FR,2048,CMIP6,ssp5_8_5,projection,15.3437418110765,30.621106942224387,3,32,8,24.855495546352785,30.0,6
FR,2049,CMIP6,ssp5_8_5,projection,15.384722202524731,27.709577277872242,0,18,8,24.855495546352785,30.0,6
FR,2050,CMIP6,ssp5_8_5,projection,14.690394040727083,30.441014736599136,1,29,14,24.855495546352785,30.0,6
FR,2051,CMIP6,ssp5_8_5,projection,15.902358709512056,32.75259456970858,16,61,57,24.855495546352785,30.0,6
FR,2052,CMIP6,ssp5_8_5,projection,14.607299453680461,30.063434169558242,2,42,36,24.855495546352785,30.0,6
FR,2053,CMIP6,ssp5_8_5,projection,16.647575667765402,30.745861635307275,2,53,29,24.855495546352785,30.0,6
FR,2054,CMIP6,ssp5_8_5,projection,15.456059483182178,31.94469829646401,6,50,41,24.855495546352785,30.0,6
FR,2055,CMIP6,ssp5_8_5,projection,15.938394440551779,32.918395820915684,6,64,34,24.855495546352785,30.0,6
FR,2056,CMIP6,ssp5_8_5,projection,16.252115570103378,31.321223759568085,7,64,38,24.855495546352785,30.0,6
FR,2057,CMIP6,ssp5_8_5,projection,15.524786469736714,28.186106719305947,0,27,0,24.855495546352785,30.0,6
FR,2058,CMIP6,ssp5_8_5,projection,15.761704849416233,32.48015349437756,4,28,10,24.855495546352785,30.0,6
FR,2059,CMIP6,ssp5_8_5,projection,16.725944270677402,31.930013725162645,3,57,33,24.855495546352785,30.0,6
FR,2060,CMIP6,ssp5_8_5,projection,16.830419135780115,33.77072405966687,16,68,53,24.855495546352785,30.0,6
IT,2004,ERA5,historical,historical,16.738686664197722,27.723840000259187,0,2,0,27.22347303705047,30.0,6
IT,2005,ERA5,historical,historical,16.379417132547513,28.764925802719638,0,8,0,27.22347303705047,30.0,6
IT,2006,ERA5,historical,historical,17.12562097909143,28.526591543273547,0,14,12,27.22347303705047,30.0,6
IT,2007,ERA5,historical,historical,17.365756198947945,28.507163187626404,0,13,9,27.22347303705047,30.0,6
IT,2008,ERA5,historical,historical,17.184890447586046,27.520740563117446,0,6,0,27.22347303705047,30.0,6
IT,2009,ERA5,historical,historical,17.277908450371296,28.556215511678143,0,15,7,27.22347303705047,30.0,6
